entry_id,paper_id,doi
165,https://openalex.org/W1978725557,https://doi.org/10.1002/cjoc.200590285
166,https://openalex.org/W2473403234,https://doi.org/10.5281/zenodo.15886631
167,https://openalex.org/W2555440268,
168,https://openalex.org/W2519009585,
169,https://openalex.org/W1972631149,https://doi.org/10.1109/greencomp.2010.5598301
170,https://openalex.org/W2029510086,https://doi.org/10.1049/piee.1970.0263
171,https://openalex.org/W2181731752,https://doi.org/10.2011/jcpsp.626627
172,https://openalex.org/W2091458895,https://doi.org/10.1093/mnras/stt2179
173,https://openalex.org/W2353369436,
174,https://openalex.org/W2353731818,
175,https://openalex.org/W4240061343,https://doi.org/10.1080/j.0001-6349.2004.00441.x
176,https://openalex.org/W3091852380,https://doi.org/10.1109/iset49818.2020.00017
177,https://openalex.org/W7045760459,
178,https://openalex.org/W2994251745,https://doi.org/10.1515/pac-2019-0901
179,https://openalex.org/W2562753939,
180,https://openalex.org/W3186133257,https://doi.org/10.1002/bewi.202100012
181,https://openalex.org/W2970639191,https://doi.org/10.1017/jog.2019.47
182,https://openalex.org/W3005325413,https://doi.org/10.1021/acscatal.9b05521
183,https://openalex.org/W2100536962,https://doi.org/10.1111/0023-8333.00112
184,https://openalex.org/W2809653371,https://doi.org/10.1515/cclm-2018-0471
185,https://openalex.org/W2091089372,https://doi.org/10.2322/tastj.12.th_1
186,https://openalex.org/W2912393079,https://doi.org/10.21475/ajcs.18.12.12.p1267
187,https://openalex.org/W2082812462,https://doi.org/10.1371/journal.pcbi.1003202
188,https://openalex.org/W2528884007,
189,https://openalex.org/W2913101416,https://doi.org/10.1590/1678-4499.2017441
190,https://openalex.org/W2980006740,https://doi.org/10.2174/1381612825666191007163152
191,https://openalex.org/W2078771170,https://doi.org/10.1074/jbc.m112.425959
192,https://openalex.org/W2154080178,https://doi.org/10.1002/wcm.1196
193,https://openalex.org/W2917301053,https://doi.org/10.2147/copd.s196383
194,https://openalex.org/W2516946209,
195,https://openalex.org/W2069806761,https://doi.org/10.1002/chin.200835230
196,https://openalex.org/W4296874946,https://doi.org/10.3102/1885830
197,https://openalex.org/W2066559889,https://doi.org/10.1086/107419
198,https://openalex.org/W1970536528,https://doi.org/10.1093/musqtl/gdn003
199,https://openalex.org/W2052539937,https://doi.org/10.5220/0005067205680579
200,https://openalex.org/W2130452454,https://doi.org/10.1080/10236190902821671
201,https://openalex.org/W2014027580,https://doi.org/10.7439/ijbr.v6i3.1800
202,https://openalex.org/W3208737884,https://doi.org/10.1177/00045632211059755
203,https://openalex.org/W2583977619,https://doi.org/10.1155/2017/8594051
204,https://openalex.org/W2051845225,https://doi.org/10.4103/0301-4738.33819
205,https://openalex.org/W3158191913,https://doi.org/10.3390/axioms10020080
206,https://openalex.org/W3177801163,https://doi.org/10.1002/star.202000228
207,https://openalex.org/W2908228793,
208,https://openalex.org/W3148383665,https://doi.org/10.3389/fpsyt.2021.626991
209,https://openalex.org/W3022858681,https://doi.org/10.1088/1755-1315/475/1/012040
210,https://openalex.org/W1621220271,
211,https://openalex.org/W1984523268,https://doi.org/10.1109/icpr.2014.682
